id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR001,BOBR,2020.0027322404371,001,-1391662.80739,5971556.57106,1750910.61967,47,940888.5471,1777625.3101,16.038931336314,103.118548829130,151.3244,179.7428
BOBR002,BOBR,2020.0054644808743,002,-1391662.80543,5971556.57175,1750910.62216,47,940888.5450,1777625.3124,16.038931357383,103.118548809849,151.3254,179.7437
BOBR003,BOBR,2020.0081967213114,003,-1391662.80697,5971556.55981,1750910.61805,47,940888.5492,1777625.3117,16.038931349868,103.118548849209,151.3134,179.7317
BOBR004,BOBR,2020.0109289617487,004,-1391662.81379,5971556.57911,1750910.62264,47,940888.5515,1777625.3105,16.038931338940,103.118548870263,151.3342,179.7525
BOBR005,BOBR,2020.0136612021859,005,-1391662.81257,5971556.57797,1750910.62541,47,940888.5505,1777625.3135,16.038931366439,103.118548861600,151.3336,179.7519
BOBR006,BOBR,2020.016393442623,006,-1391662.81136,5971556.57776,1750910.62278,47,940888.5494,1777625.3111,16.038931344765,103.118548851058,151.3324,179.7508
BOBR007,BOBR,2020.01912568306,007,-1391662.80268,5971556.56915,1750910.61866,47,940888.5429,1777625.3099,16.038931334903,103.118548790289,151.3214,179.7397
BOBR008,BOBR,2020.0218579234972,008,-1391662.80247,5971556.57622,1750910.62212,47,940888.5411,1777625.3113,16.038931347852,103.118548773463,151.3289,179.7472
BOBR009,BOBR,2020.0245901639344,009,-1391662.80764,5971556.57153,1750910.61852,47,940888.5472,1777625.3089,16.038931325042,103.118548830389,151.3246,179.7429
BOBR010,BOBR,2020.0273224043715,010,-1391662.80111,5971556.56648,1750910.61513,47,940888.5420,1777625.3073,16.038931311538,103.118548781706,151.3175,179.7359
BOBR011,BOBR,2020.0300546448088,011,-1391662.80052,5971556.57158,1750910.61639,47,940888.5403,1777625.3071,16.038931310465,103.118548765500,151.3225,179.7409
BOBR012,BOBR,2020.032786885246,012,-1391662.81061,5971556.57728,1750910.62187,47,940888.5488,1777625.3104,16.038931338510,103.118548845283,151.3316,179.7499
BOBR013,BOBR,2020.035519125683,013,-1391662.80578,5971556.57247,1750910.61951,47,940888.5452,1777625.3096,16.038931332454,103.118548811513,151.3254,179.7437
BOBR014,BOBR,2020.0382513661202,014,-1391662.81112,5971556.57771,1750910.62375,47,940888.5492,1777625.3121,16.038931353460,103.118548848978,151.3326,179.7509
BOBR015,BOBR,2020.0409836065573,015,-1391662.81114,5971556.57048,1750910.62135,47,940888.5508,1777625.3117,16.038931350162,103.118548864489,151.3252,179.7435
BOBR016,BOBR,2020.0437158469945,016,-1391662.81234,5971556.57827,1750910.62327,47,940888.5502,1777625.3114,16.038931347262,103.118548858903,151.3333,179.7516
BOBR017,BOBR,2020.0464480874316,017,-1391662.80361,5971556.56800,1750910.61925,47,940888.5441,1777625.3107,16.038931342289,103.118548801233,151.3206,179.7390
BOBR018,BOBR,2020.049180327869,018,-1391662.80178,5971556.55900,1750910.61755,47,940888.5443,1777625.3116,16.038931350391,103.118548803648,151.3114,179.7297
BOBR019,BOBR,2020.051912568306,019,-1391662.80331,5971556.57075,1750910.62097,47,940888.5431,1777625.3116,16.038931350684,103.118548792632,151.3236,179.7419
BOBR020,BOBR,2020.0546448087432,020,-1391662.81564,5971556.57267,1750910.62406,47,940888.5547,1777625.3135,16.038931365893,103.118548900823,151.3290,179.7473
BOBR021,BOBR,2020.0573770491803,021,-1391662.80939,5971556.57380,1750910.62127,47,940888.5484,1777625.3108,16.038931342422,103.118548841546,151.3279,179.7462
BOBR022,BOBR,2020.0601092896175,022,-1391662.81169,5971556.57017,1750910.62384,47,940888.5514,1777625.3142,16.038931372289,103.118548870142,151.3257,179.7440
BOBR023,BOBR,2020.0628415300546,023,-1391662.80364,5971556.56257,1750910.61884,47,940888.5453,1777625.3118,16.038931351878,103.118548813013,151.3155,179.7338
BOBR024,BOBR,2020.0655737704917,024,-1391662.81173,5971556.56859,1750910.62062,47,940888.5518,1777625.3115,16.038931348125,103.118548873877,151.3233,179.7417
BOBR025,BOBR,2020.068306010929,025,-1391662.80153,5971556.58151,1750910.62458,47,940888.5389,1777625.3122,16.038931356871,103.118548753645,151.3343,179.7526
BOBR026,BOBR,2020.0710382513662,026,-1391662.81964,5971556.57327,1750910.62309,47,940888.5585,1777625.3123,16.038931353759,103.118548935980,151.3301,179.7485
BOBR027,BOBR,2020.0737704918033,027,-1391662.80656,5971556.56758,1750910.61777,47,940888.5471,1777625.3093,16.038931328760,103.118548828991,151.3205,179.7388
BOBR028,BOBR,2020.0765027322404,028,-1391662.81561,5971556.57107,1750910.62319,47,940888.5550,1777625.3131,16.038931362218,103.118548903891,151.3272,179.7455
BOBR029,BOBR,2020.0792349726776,029,-1391662.81384,5971556.57531,1750910.61924,47,940888.5524,1777625.3083,16.038931318570,103.118548878833,151.3297,179.7480
BOBR030,BOBR,2020.0819672131147,030,-1391662.80896,5971556.57387,1750910.61695,47,940888.5480,1777625.3067,16.038931304952,103.118548837494,151.3267,179.7450
BOBR031,BOBR,2020.0846994535518,031,-1391662.80684,5971556.57385,1750910.61774,47,940888.5459,1777625.3075,16.038931313061,103.118548818199,151.3264,179.7447
BOBR032,BOBR,2020.0874316939892,032,-1391662.80507,5971556.57535,1750910.61905,47,940888.5439,1777625.3084,16.038931321851,103.118548798905,151.3278,179.7461
BOBR033,BOBR,2020.0901639344263,033,-1391662.80562,5971556.58238,1750910.62373,47,940888.5428,1777625.3110,16.038931345105,103.118548789064,151.3358,179.7541
BOBR034,BOBR,2020.0928961748634,034,-1391662.80765,5971556.57499,1750910.62202,47,940888.5464,1777625.3113,16.038931346981,103.118548823190,151.3288,179.7472
BOBR035,BOBR,2020.0956284153006,035,-1391662.80852,5971556.56125,1750910.61838,47,940888.5504,1777625.3115,16.038931348357,103.118548860240,151.3152,179.7335
BOBR036,BOBR,2020.0983606557377,036,-1391662.81469,5971556.58045,1750910.62199,47,940888.5521,1777625.3095,16.038931329495,103.118548875670,151.3355,179.7538
BOBR037,BOBR,2020.1010928961748,037,-1391662.80822,5971556.57179,1750910.62078,47,940888.5477,1777625.3109,16.038931343748,103.118548835138,151.3256,179.7439
BOBR038,BOBR,2020.103825136612,038,-1391662.81317,5971556.56734,1750910.61691,47,940888.5536,1777625.3082,16.038931318085,103.118548889586,151.3215,179.7398
BOBR039,BOBR,2020.1065573770493,039,-1391662.81540,5971556.56748,1750910.61704,47,940888.5557,1777625.3082,16.038931317646,103.118548909647,151.3221,179.7404
BOBR040,BOBR,2020.1092896174864,040,-1391662.81516,5971556.56366,1750910.61765,47,940888.5563,1777625.3099,16.038931332331,103.118548915536,151.3187,179.7370
BOBR041,BOBR,2020.1120218579235,041,-1391662.81121,5971556.57742,1750910.61735,47,940888.5494,1777625.3060,16.038931298516,103.118548850455,151.3306,179.7489
BOBR042,BOBR,2020.1147540983607,042,-1391662.81212,5971556.57697,1750910.61927,47,940888.5504,1777625.3079,16.038931315768,103.118548859669,151.3309,179.7492
BOBR043,BOBR,2020.1174863387978,043,-1391662.80720,5971556.56690,1750910.61849,47,940888.5478,1777625.3101,16.038931336307,103.118548836227,151.3202,179.7385
BOBR044,BOBR,2020.120218579235,044,-1391662.80866,5971556.56332,1750910.61643,47,940888.5501,1777625.3091,16.038931326288,103.118548857092,151.3166,179.7349
BOBR045,BOBR,2020.122950819672,045,-1391662.80972,5971556.57612,1750910.62079,47,940888.5482,1777625.3097,16.038931332422,103.118548839590,151.3300,179.7483
BOBR046,BOBR,2020.1256830601094,046,-1391662.81835,5971556.58192,1750910.62094,47,940888.5553,1777625.3079,16.038931314753,103.118548905881,151.3374,179.7557
BOBR047,BOBR,2020.1284153005465,047,-1391662.81625,5971556.56939,1750910.61921,47,940888.5561,1777625.3097,16.038931331353,103.118548913333,151.3247,179.7430
BOBR048,BOBR,2020.1311475409836,048,-1391662.81218,5971556.57820,1750910.62330,47,940888.5501,1777625.3114,16.038931347728,103.118548857621,151.3332,179.7515
BOBR049,BOBR,2020.1338797814208,049,-1391662.81202,5971556.56940,1750910.61926,47,940888.5520,1777625.3100,16.038931334132,103.118548874757,151.3238,179.7421
BOBR050,BOBR,2020.136612021858,050,-1391662.81111,5971556.57182,1750910.61981,47,940888.5505,1777625.3099,16.038931333539,103.118548861405,151.3260,179.7443
BOBR051,BOBR,2020.139344262295,051,-1391662.80792,5971556.56484,1750910.61743,47,940888.5490,1777625.3096,16.038931331722,103.118548847121,151.3181,179.7364
BOBR052,BOBR,2020.1420765027322,052,-1391662.80863,5971556.55794,1750910.61718,47,940888.5512,1777625.3113,16.038931345887,103.118548868289,151.3118,179.7301
BOBR053,BOBR,2020.1448087431695,053,-1391662.80934,5971556.56616,1750910.61656,47,940888.5501,1777625.3084,16.038931320146,103.118548857241,151.3194,179.7377
BOBR054,BOBR,2020.1475409836066,054,-1391662.81576,5971556.57483,1750910.61909,47,940888.5544,1777625.3082,16.038931317388,103.118548897299,151.3296,179.7480
BOBR055,BOBR,2020.1502732240438,055,-1391662.81496,5971556.56738,1750910.61788,47,940888.5553,1777625.3091,16.038931325433,103.118548905852,151.3222,179.7405
BOBR056,BOBR,2020.1530054644809,056,-1391662.81452,5971556.57171,1750910.61992,47,940888.5539,1777625.3099,16.038931332850,103.118548892625,151.3267,179.7450
BOBR057,BOBR,2020.155737704918,057,-1391662.81540,5971556.57435,1750910.62233,47,940888.5541,1777625.3114,16.038931346851,103.118548895016,151.3300,179.7483
BOBR058,BOBR,2020.1584699453551,058,-1391662.81333,5971556.57383,1750910.61931,47,940888.5523,1777625.3088,16.038931323130,103.118548877365,151.3282,179.7466
BOBR059,BOBR,2020.1612021857923,059,-1391662.80695,5971556.56488,1750910.61665,47,940888.5481,1777625.3089,16.038931325356,103.118548838213,151.3177,179.7361
BOBR060,BOBR,2020.1639344262296,060,-1391662.81272,5971556.58915,1750910.62445,47,940888.5482,1777625.3095,16.038931330851,103.118548839318,151.3439,179.7622
BOBR061,BOBR,2020.1666666666667,061,-1391662.81496,5971556.58704,1750910.62058,47,940888.5509,1777625.3063,16.038931301069,103.118548864150,151.3413,179.7596
BOBR062,BOBR,2020.1693989071039,062,-1391662.81496,5971556.57670,1750910.61761,47,940888.5532,1777625.3063,16.038931300423,103.118548886040,151.3308,179.7491
BOBR063,BOBR,2020.172131147541,063,-1391662.80868,5971556.57793,1750910.62108,47,940888.5468,1777625.3095,16.038931331112,103.118548826355,151.3315,179.7499
BOBR064,BOBR,2020.1748633879781,064,-1391662.80801,5971556.56246,1750910.61507,47,940888.5497,1777625.3080,16.038931316967,103.118548853008,151.3153,179.7336
BOBR065,BOBR,2020.1775956284152,065,-1391662.80882,5971556.56813,1750910.61592,47,940888.5492,1777625.3072,16.038931310106,103.118548848367,151.3210,179.7393
BOBR066,BOBR,2020.1803278688524,066,-1391662.80037,5971556.58504,1750910.62156,47,940888.5371,1777625.3084,16.038931322735,103.118548735628,151.3365,179.7548
BOBR067,BOBR,2020.1830601092897,067,-1391662.81767,5971556.57645,1750910.62277,47,940888.5559,1777625.3112,16.038931344312,103.118548911226,151.3326,179.7509
BOBR068,BOBR,2020.1857923497269,068,-1391662.80081,5971556.57482,1750910.61825,47,940888.5398,1777625.3080,16.038931318569,103.118548761317,151.3261,179.7445
BOBR069,BOBR,2020.188524590164,069,-1391662.81027,5971556.57213,1750910.61974,47,940888.5496,1777625.3098,16.038931332695,103.118548853091,151.3261,179.7444
BOBR070,BOBR,2020.191256830601,070,-1391662.81524,5971556.57938,1750910.61954,47,940888.5529,1777625.3074,16.038931310523,103.118548882946,151.3339,179.7522
BOBR071,BOBR,2020.1939890710382,071,-1391662.80950,5971556.56333,1750910.61071,47,940888.5510,1777625.3035,16.038931276142,103.118548864740,151.3152,179.7335
BOBR072,BOBR,2020.1967213114754,072,-1391662.81101,5971556.57669,1750910.61963,47,940888.5494,1777625.3084,16.038931320220,103.118548850152,151.3305,179.7488
BOBR073,BOBR,2020.1994535519125,073,-1391662.81329,5971556.57230,1750910.61997,47,940888.5526,1777625.3098,16.038931332626,103.118548880217,151.3270,179.7453
BOBR074,BOBR,2020.2021857923498,074,-1391662.80481,5971556.56843,1750910.61543,47,940888.5452,1777625.3069,16.038931307388,103.118548811272,151.3203,179.7386
BOBR075,BOBR,2020.204918032787,075,-1391662.81016,5971556.58311,1750910.62128,47,940888.5471,1777625.3082,16.038931319462,103.118548828817,151.3368,179.7551
BOBR076,BOBR,2020.207650273224,076,-1391662.80209,5971556.57342,1750910.61940,47,940888.5414,1777625.3094,16.038931331219,103.118548775896,151.3254,179.7437
BOBR077,BOBR,2020.2103825136612,077,-1391662.80850,5971556.57713,1750910.62161,47,940888.5468,1777625.3103,16.038931337805,103.118548826331,151.3309,179.7492
BOBR078,BOBR,2020.2131147540983,078,-1391662.82700,5971556.59336,1750910.62287,47,940888.5612,1777625.3062,16.038931298787,103.118548960276,151.3505,179.7688
BOBR079,BOBR,2020.2158469945355,079,-1391662.80848,5971556.60444,1750910.62969,47,940888.5405,1777625.3106,16.038931341613,103.118548768266,151.3587,179.7770
BOBR080,BOBR,2020.2185792349726,080,-1391662.80944,5971556.58377,1750910.61892,47,940888.5463,1777625.3058,16.038931297766,103.118548820809,151.3366,179.7549
BOBR081,BOBR,2020.22131147541,081,-1391662.81718,5971556.58304,1750910.61798,47,940888.5540,1777625.3048,16.038931286958,103.118548892862,151.3373,179.7556
BOBR082,BOBR,2020.224043715847,082,-1391662.81103,5971556.57376,1750910.61720,47,940888.5501,1777625.3068,16.038931306295,103.118548856502,151.3271,179.7454
BOBR083,BOBR,2020.2267759562842,083,-1391662.80383,5971556.57202,1750910.62022,47,940888.5434,1777625.3105,16.038931340780,103.118548794683,151.3247,179.7430
BOBR084,BOBR,2020.2295081967213,084,-1391662.80829,5971556.58060,1750910.62211,47,940888.5458,1777625.3098,16.038931333827,103.118548817092,151.3342,179.7526
BOBR085,BOBR,2020.2322404371585,085,-1391662.80599,5971556.59536,1750910.62469,47,940888.5402,1777625.3083,16.038931321648,103.118548764868,151.3483,179.7666
BOBR086,BOBR,2020.2349726775956,086,-1391662.83313,5971556.58189,1750910.62287,47,940888.5698,1777625.3091,16.038931323212,103.118549040433,151.3411,179.7594
BOBR087,BOBR,2020.2377049180327,087,-1391662.80555,5971556.56814,1750910.61654,47,940888.5460,1777625.3080,16.038931317253,103.118548818604,151.3204,179.7388
BOBR088,BOBR,2020.24043715847,088,-1391662.80974,5971556.57864,1750910.62207,47,940888.5476,1777625.3102,16.038931337402,103.118548834432,151.3327,179.7510
BOBR089,BOBR,2020.2431693989072,089,-1391662.80652,5971556.57527,1750910.61770,47,940888.5453,1777625.3071,16.038931309471,103.118548812249,151.3277,179.7460
BOBR090,BOBR,2020.2459016393443,090,-1391662.81604,5971556.58377,1750910.62282,47,940888.5526,1777625.3093,16.038931327846,103.118548880943,151.3391,179.7574
BOBR091,BOBR,2020.2486338797814,091,-1391662.81274,5971556.58818,1750910.62434,47,940888.5484,1777625.3097,16.038931332273,103.118548841501,151.3429,179.7612
BOBR092,BOBR,2020.2513661202186,092,-1391662.82615,5971556.58543,1750910.62427,47,940888.5621,1777625.3098,16.038931330747,103.118548969382,151.3433,179.7616
BOBR093,BOBR,2020.2540983606557,093,-1391662.81161,5971556.57400,1750910.62060,47,940888.5505,1777625.3100,16.038931334910,103.118548861322,151.3284,179.7467
BOBR094,BOBR,2020.2568306010928,094,-1391662.82085,5971556.57001,1750910.61833,47,940888.5605,1777625.3085,16.038931319584,103.118548953898,151.3260,179.7443
BOBR095,BOBR,2020.25956284153,095,-1391662.80508,5971556.57099,1750910.61916,47,940888.5448,1777625.3097,16.038931333369,103.118548808285,151.3237,179.7421
BOBR096,BOBR,2020.2622950819673,096,-1391662.81258,5971556.57984,1750910.62243,47,940888.5501,1777625.3101,16.038931335967,103.118548857711,151.3346,179.7529
BOBR097,BOBR,2020.2650273224044,097,-1391662.81389,5971556.56198,1750910.61792,47,940888.5555,1777625.3106,16.038931339488,103.118548907567,151.3169,179.7352
BOBR098,BOBR,2020.2677595628415,098,-1391662.81047,5971556.58428,1750910.62024,47,940888.5471,1777625.3069,16.038931307359,103.118548829093,151.3377,179.7560
BOBR099,BOBR,2020.2704918032787,099,-1391662.81769,5971556.57772,1750910.62386,47,940888.5556,1777625.3119,16.038931350664,103.118548908704,151.3341,179.7524
BOBR100,BOBR,2020.2732240437158,100,-1391662.81942,5971556.57641,1750910.62102,47,940888.5576,1777625.3094,16.038931328204,103.118548927285,151.3325,179.7508
BOBR101,BOBR,2020.275956284153,101,-1391662.82269,5971556.58622,1750910.62381,47,940888.5586,1777625.3093,16.038931326777,103.118548936216,151.3431,179.7614
BOBR102,BOBR,2020.27868852459,102,-1391662.81347,5971556.58041,1750910.61972,47,940888.5509,1777625.3073,16.038931310576,103.118548864633,151.3345,179.7529
BOBR103,BOBR,2020.2814207650274,103,-1391662.82794,5971556.58844,1750910.62669,47,940888.5631,1777625.3112,16.038931343419,103.118548979252,151.3471,179.7655
BOBR104,BOBR,2020.2841530054645,104,-1391662.82206,5971556.57069,1750910.61856,47,940888.5615,1777625.3085,16.038931319234,103.118548963430,151.3270,179.7453
BOBR105,BOBR,2020.2868852459017,105,-1391662.81809,5971556.57688,1750910.61899,47,940888.5562,1777625.3074,16.038931310251,103.118548914170,151.3320,179.7504
BOBR106,BOBR,2020.2896174863388,106,-1391662.81604,5971556.57404,1750910.61892,47,940888.5549,1777625.3082,16.038931317661,103.118548901549,151.3289,179.7472
BOBR107,BOBR,2020.292349726776,107,-1391662.83693,5971556.58768,1750910.62417,47,940888.5722,1777625.3086,16.038931318296,103.118549062772,151.3477,179.7660
BOBR108,BOBR,2020.295081967213,108,-1391662.81440,5971556.57915,1750910.61830,47,940888.5521,1777625.3063,16.038931300774,103.118548875740,151.3332,179.7515
BOBR109,BOBR,2020.2978142076502,109,-1391662.82272,5971556.59418,1750910.62306,47,940888.5569,1777625.3064,16.038931300863,103.118548919644,151.3504,179.7687
BOBR110,BOBR,2020.3005464480875,110,-1391662.82506,5971556.59475,1750910.62257,47,940888.5590,1777625.3056,16.038931293923,103.118548939712,151.3513,179.7696
BOBR111,BOBR,2020.3032786885246,111,-1391662.82120,5971556.58351,1750910.61875,47,940888.5578,1777625.3052,16.038931290186,103.118548928446,151.3389,179.7572
BOBR112,BOBR,2020.3060109289618,112,-1391662.82679,5971556.58329,1750910.62201,47,940888.5633,1777625.3082,16.038931315933,103.118548979739,151.3408,179.7591
BOBR113,BOBR,2020.308743169399,113,-1391662.82014,5971556.56574,1750910.61632,47,940888.5608,1777625.3078,16.038931312908,103.118548956472,151.3213,179.7396
BOBR114,BOBR,2020.311475409836,114,-1391662.81291,5971556.58811,1750910.62135,47,940888.5486,1777625.3068,16.038931306337,103.118548843203,151.3421,179.7604
BOBR115,BOBR,2020.3142076502731,115,-1391662.80929,5971556.57450,1750910.61568,47,940888.5482,1777625.3053,16.038931292269,103.118548839116,151.3270,179.7453
BOBR116,BOBR,2020.3169398907103,116,-1391662.81727,5971556.57256,1750910.61624,47,940888.5564,1777625.3060,16.038931297331,103.118548915828,151.3271,179.7454
BOBR117,BOBR,2020.3196721311476,117,-1391662.81988,5971556.58438,1750910.61846,47,940888.5563,1777625.3048,16.038931286332,103.118548914510,151.3393,179.7576
BOBR118,BOBR,2020.3224043715848,118,-1391662.81189,5971556.57554,1750910.61514,47,940888.5506,1777625.3043,16.038931283500,103.118548860612,151.3284,179.7467
