id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
JAHM001,JAHM,2020.0027322404371,001,-1003279.83463,5959660.12761,2032774.35378,47,558607.2280,2068529.8381,18.707275605706,99.555867077959,274.9015,312.2377
JAHM002,JAHM,2020.0054644808743,002,-1003279.83356,5959660.12603,2032774.35528,47,558607.2272,2068529.8400,18.707275623585,99.555867070450,274.9003,312.2365
JAHM003,JAHM,2020.0081967213114,003,-1003279.83599,5959660.12999,2032774.35723,47,558607.2290,2068529.8405,18.707275627790,99.555867086888,274.9051,312.2412
JAHM004,JAHM,2020.0109289617487,004,-1003279.83336,5959660.13345,2032774.35572,47,558607.2258,2068529.8381,18.707275606214,99.555867056849,274.9074,312.2435
JAHM005,JAHM,2020.0136612021859,005,-1003279.83542,5959660.13046,2032774.35413,47,558607.2283,2068529.8374,18.707275600136,99.555867080821,274.9044,312.2405
JAHM006,JAHM,2020.016393442623,006,-1003279.83552,5959660.13494,2032774.35714,47,558607.2277,2068529.8389,18.707275613082,99.555867074719,274.9096,312.2457
JAHM007,JAHM,2020.01912568306,007,-1003279.84126,5959660.13620,2032774.35875,47,558607.2331,2068529.8397,18.707275620468,99.555867126338,274.9122,312.2483
JAHM008,JAHM,2020.0218579234972,008,-1003279.83540,5959660.14015,2032774.35755,47,558607.2267,2068529.8376,18.707275601762,99.555867065404,274.9145,312.2507
JAHM009,JAHM,2020.0245901639344,009,-1003279.83595,5959660.12389,2032774.35557,47,558607.2299,2068529.8409,18.707275631004,99.555867096077,274.8988,312.2350
JAHM010,JAHM,2020.0273224043715,010,-1003279.84311,5959660.14434,2032774.35934,47,558607.2336,2068529.8376,18.707275601423,99.555867130844,274.9203,312.2564
JAHM011,JAHM,2020.0300546448088,011,-1003279.84059,5959660.12795,2032774.35353,47,558607.2339,2068529.8374,18.707275599692,99.555867133111,274.9027,312.2388
JAHM012,JAHM,2020.032786885246,012,-1003279.85285,5959660.13023,2032774.35949,47,558607.2455,2068529.8417,18.707275638292,99.555867244117,274.9087,312.2448
JAHM013,JAHM,2020.035519125683,013,-1003279.84530,5959660.12279,2032774.35401,47,558607.2393,2068529.8393,18.707275616306,99.555867185226,274.8988,312.2349
