id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
KOGD001,KOGD,2020.0027322404371,001,-1356671.05140,6098368.01996,1280387.72455,47,886290.0704,1291158.4235,11.658062973614,102.542041177314,35.9510,55.7908
KOGD002,KOGD,2020.0054644808743,002,-1356671.04633,6098368.03390,1280387.72959,47,886290.0624,1291158.4258,11.658062995397,102.542041104222,35.9643,55.8041
KOGD003,KOGD,2020.0081967213114,003,-1356671.04469,6098368.01899,1280387.72822,47,886290.0641,1291158.4275,11.658063010591,102.542041119203,35.9494,55.7892
KOGD004,KOGD,2020.0109289617487,004,-1356671.04434,6098368.01640,1280387.72507,47,886290.0643,1291158.4249,11.658062987360,102.542041121260,35.9462,55.7860
KOGD005,KOGD,2020.0136612021859,005,-1356671.04713,6098368.02234,1280387.72689,47,886290.0657,1291158.4254,11.658062991820,102.542041134391,35.9528,55.7927
KOGD006,KOGD,2020.016393442623,006,-1356671.04635,6098368.02888,1280387.72507,47,886290.0636,1291158.4223,11.658062964374,102.542041114349,35.9586,55.7984
KOGD007,KOGD,2020.01912568306,007,-1356671.04983,6098368.02446,1280387.72753,47,886290.0679,1291158.4255,11.658062992674,102.542041154321,35.9556,55.7954
KOGD008,KOGD,2020.0218579234972,008,-1356671.04511,6098368.03345,1280387.73054,47,886290.0613,1291158.4268,11.658063005144,102.542041094137,35.9638,55.8036
KOGD009,KOGD,2020.0245901639344,009,-1356671.04567,6098368.03042,1280387.73146,47,886290.0625,1291158.4283,11.658063018448,102.542041105215,35.9612,55.8010
KOGD010,KOGD,2020.0273224043715,010,-1356671.04783,6098368.03429,1280387.73107,47,886290.0638,1291158.4271,11.658063007269,102.542041116822,35.9653,55.8051
KOGD011,KOGD,2020.0300546448088,011,-1356671.04796,6098368.02778,1280387.72756,47,886290.0654,1291158.4249,11.658062987700,102.542041130993,35.9584,55.7982
KOGD012,KOGD,2020.032786885246,012,-1356671.05071,6098368.02958,1280387.73251,47,886290.0676,1291158.4294,11.658063027258,102.542041151969,35.9617,55.8015
KOGD013,KOGD,2020.035519125683,013,-1356671.03880,6098368.02998,1280387.72950,47,886290.0559,1291158.4267,11.658063004611,102.542041044636,35.9589,55.7987
KOGD014,KOGD,2020.0382513661202,014,-1356671.04297,6098368.03606,1280387.73138,47,886290.0587,1291158.4272,11.658063008783,102.542041069842,35.9660,55.8058
KOGD015,KOGD,2020.0409836065573,015,-1356671.04760,6098368.02579,1280387.72664,47,886290.0655,1291158.4245,11.658062983235,102.542041131733,35.9562,55.7960
KOGD016,KOGD,2020.0437158469945,016,-1356671.05154,6098368.02899,1280387.72935,47,886290.0686,1291158.4264,11.658063000006,102.542041160651,35.9606,55.8005
KOGD017,KOGD,2020.0464480874316,017,-1356671.04336,6098368.02964,1280387.72827,47,886290.0605,1291158.4254,11.658062992476,102.542041086110,35.9593,55.7991
KOGD018,KOGD,2020.049180327869,018,-1356671.04861,6098368.02266,1280387.72608,47,886290.0671,1291158.4245,11.658062983492,102.542041147009,35.9533,55.7931
KOGD019,KOGD,2020.051912568306,019,-1356671.04996,6098368.02143,1280387.72710,47,886290.0687,1291158.4257,11.658062994228,102.542041161558,35.9526,55.7924
KOGD020,KOGD,2020.0546448087432,020,-1356671.04722,6098368.03249,1280387.73076,47,886290.0636,1291158.4272,11.658063007961,102.542041114987,35.9634,55.8032
KOGD021,KOGD,2020.0573770491803,021,-1356671.04225,6098368.02598,1280387.72770,47,886290.0602,1291158.4256,11.658062994412,102.542041083421,35.9555,55.7953
KOGD022,KOGD,2020.0601092896175,022,-1356671.04719,6098368.03600,1280387.73045,47,886290.0628,1291158.4262,11.658062998972,102.542041107712,35.9666,55.8065
KOGD023,KOGD,2020.0628415300546,023,-1356671.04043,6098368.03707,1280387.72973,47,886290.0560,1291158.4255,11.658062993407,102.542041045058,35.9661,55.8059
KOGD024,KOGD,2020.0655737704917,024,-1356671.04987,6098368.03288,1280387.72813,47,886290.0661,1291158.4244,11.658062982937,102.542041137913,35.9638,55.8036
KOGD025,KOGD,2020.068306010929,025,-1356671.05035,6098368.03965,1280387.73233,47,886290.0651,1291158.4272,11.658063007867,102.542041128739,35.9712,55.8110
KOGD026,KOGD,2020.0710382513662,026,-1356671.05026,6098368.02488,1280387.72787,47,886290.0682,1291158.4258,11.658062994711,102.542041157336,35.9561,55.7959
KOGD027,KOGD,2020.0737704918033,027,-1356671.05305,6098368.03174,1280387.73059,47,886290.0695,1291158.4270,11.658063005506,102.542041168664,35.9638,55.8037
KOGD028,KOGD,2020.0765027322404,028,-1356671.04428,6098368.04096,1280387.73114,47,886290.0589,1291158.4259,11.658062997354,102.542041071793,35.9709,55.8107
KOGD029,KOGD,2020.0792349726776,029,-1356671.05038,6098368.03202,1280387.72717,47,886290.0668,1291158.4236,11.658062975712,102.542041144211,35.9629,55.8027
KOGD030,KOGD,2020.0819672131147,030,-1356671.05015,6098368.02521,1280387.72894,47,886290.0680,1291158.4267,11.658063003657,102.542041155652,35.9566,55.7965
KOGD031,KOGD,2020.0846994535518,031,-1356671.05288,6098368.01994,1280387.72249,47,886290.0719,1291158.4214,11.658062954864,102.542041190589,35.9509,55.7907
KOGD032,KOGD,2020.0874316939892,032,-1356671.04802,6098368.01579,1280387.72267,47,886290.0681,1291158.4226,11.658062965810,102.542041155367,35.9459,55.7857
KOGD033,KOGD,2020.0901639344263,033,-1356671.03900,6098368.01508,1280387.72419,47,886290.0594,1291158.4245,11.658062984110,102.542041076053,35.9436,55.7834
KOGD034,KOGD,2020.0928961748634,034,-1356671.04804,6098368.02058,1280387.72611,47,886290.0670,1291158.4250,11.658062987724,102.542041146007,35.9512,55.7910
KOGD035,KOGD,2020.0956284153006,035,-1356671.05757,6098368.02405,1280387.72935,47,886290.0755,1291158.4272,11.658063006445,102.542041224396,35.9572,55.7970
KOGD036,KOGD,2020.0983606557377,036,-1356671.03669,6098368.01063,1280387.72231,47,886290.0581,1291158.4236,11.658062976310,102.542041064265,35.9385,55.7783
KOGD037,KOGD,2020.1010928961748,037,-1356671.04432,6098368.03346,1280387.72570,47,886290.0606,1291158.4221,11.658062962545,102.542041087068,35.9626,55.8024
