id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
LSN1167,LSN1,2020.4562841530055,167,-1088138.33303,6196941.04080,1042730.29347,47,605293.7218,1047220.4983,9.472357989911,99.959198791771,8.3036,31.4022
LSN1168,LSN1,2020.4590163934427,168,-1088138.33238,6196941.03501,1042730.29195,47,605293.7222,1047220.4977,9.472357985062,99.959198795083,8.2976,31.3962
LSN1169,LSN1,2020.4617486338798,169,-1088138.32187,6196941.02352,1042730.28695,47,605293.7138,1047220.4949,9.472357960002,99.959198718885,8.2838,31.3824
LSN1170,LSN1,2020.464480874317,170,-1088138.33208,6196941.03952,1042730.28815,47,605293.7211,1047220.4932,9.472357944617,99.959198785226,8.3013,31.3999
LSN1171,LSN1,2020.467213114754,171,-1088138.31722,6196941.03897,1042730.28970,47,605293.7066,1047220.4953,9.472357963103,99.959198652868,8.2985,31.3971
LSN1172,LSN1,2020.4699453551912,172,-1088138.32314,6196941.04576,1042730.29232,47,605293.7112,1047220.4966,9.472357974976,99.959198695290,8.3065,31.4051
LSN1173,LSN1,2020.4726775956285,173,-1088138.32530,6196941.06664,1042730.29364,47,605293.7097,1047220.4944,9.472357955586,99.959198681709,8.3274,31.4260
LSN1174,LSN1,2020.4754098360656,174,-1088138.33010,6196941.05015,1042730.29451,47,605293.7173,1047220.4978,9.472357986245,99.959198750740,8.3124,31.4109
LSN1175,LSN1,2020.4781420765028,175,-1088138.32657,6196941.03849,1042730.28939,47,605293.7159,1047220.4948,9.472357958621,99.959198737431,8.2996,31.3982
LSN1176,LSN1,2020.48087431694,176,-1088138.32383,6196941.03156,1042730.29013,47,605293.7144,1047220.4967,9.472357976086,99.959198723791,8.2925,31.3911
LSN1177,LSN1,2020.483606557377,177,-1088138.33510,6196941.04454,1042730.29374,47,605293.7232,1047220.4979,9.472357986364,99.959198804456,8.3076,31.4062
LSN1178,LSN1,2020.4863387978141,178,-1088138.33115,6196941.03975,1042730.29365,47,605293.7201,1047220.4987,9.472357993587,99.959198776541,8.3023,31.4009
LSN1181,LSN1,2020.4945355191257,181,-1088138.32856,6196941.03886,1042730.29540,47,605293.7177,1047220.5006,9.472358011136,99.959198754721,8.3013,31.3999
