id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
NKBI167,NKBI,2020.4562841530055,167,-1004107.40580,6237146.54651,874718.74008,47,516034.1341,877174.7534,7.935542112469,99.145478471957,-8.8877,12.4257
NKBI168,NKBI,2020.4590163934427,168,-1004107.40244,6237146.52044,874718.73180,47,516034.1349,877174.7488,7.935542071127,99.145478479446,-8.9149,12.3985
NKBI169,NKBI,2020.4617486338798,169,-1004107.40612,6237146.54408,874718.73321,47,516034.1348,877174.7469,7.935542053842,99.145478478280,-8.8910,12.4224
NKBI170,NKBI,2020.464480874317,170,-1004107.40593,6237146.53514,874718.73474,47,516034.1360,877174.7496,7.935542078609,99.145478489471,-8.8995,12.4138
NKBI171,NKBI,2020.467213114754,171,-1004107.42564,6237146.53459,874718.73241,47,516034.1556,877174.7470,7.935542054539,99.145478666814,-8.8973,12.4161
NKBI172,NKBI,2020.4699453551912,172,-1004107.40283,6237146.51467,874718.72861,47,516034.1362,877174.7464,7.935542049584,99.145478491256,-8.9209,12.3925
NKBI173,NKBI,2020.4726775956285,173,-1004107.40766,6237146.54964,874718.73431,47,516034.1354,877174.7472,7.935542056566,99.145478484138,-8.8851,12.4282
NKBI174,NKBI,2020.4754098360656,174,-1004107.39929,6237146.53903,874718.73653,47,516034.1289,877174.7510,7.935542091156,99.145478424465,-8.8965,12.4168
NKBI175,NKBI,2020.4781420765028,175,-1004107.40471,6237146.53376,874718.73219,47,516034.1350,877174.7473,7.935542057724,99.145478480585,-8.9014,12.4119
NKBI176,NKBI,2020.48087431694,176,-1004107.40292,6237146.53954,874718.73462,47,516034.1324,877174.7490,7.935542072728,99.145478456234,-8.8957,12.4176
NKBI177,NKBI,2020.483606557377,177,-1004107.39312,6237146.52811,874718.73366,47,516034.1245,877174.7498,7.935542080180,99.145478384898,-8.9086,12.4048
NKBI178,NKBI,2020.4863387978141,178,-1004107.39721,6237146.53212,874718.73417,47,516034.1279,877174.7497,7.935542078939,99.145478415802,-8.9039,12.4094
NKBI181,NKBI,2020.4945355191257,181,-1004107.39181,6237146.53872,874718.73641,47,516034.1215,877174.7511,7.935542091976,99.145478357930,-8.8980,12.4153
NKBI182,NKBI,2020.4972677595629,182,-1004107.44279,6237146.57127,874718.73865,47,516034.1667,877174.7478,7.935542061818,99.145478767511,-8.8579,12.4555
NKBI183,NKBI,2020.5,183,-1004107.40202,6237146.53333,874718.73358,47,516034.1325,877174.7488,7.935542071189,99.145478457138,-8.9021,12.4113
NKBI184,NKBI,2020.5027322404371,184,-1004107.40321,6237146.54434,874718.73431,47,516034.1319,877174.7480,7.935542063969,99.145478451911,-8.8910,12.4223
NKBI185,NKBI,2020.5054644808743,185,-1004107.40984,6237146.52964,874718.72928,47,516034.1408,877174.7449,7.935542035731,99.145478532456,-8.9050,12.4083
NKBI186,NKBI,2020.5081967213114,186,-1004107.40405,6237146.53144,874718.73155,47,516034.1348,877174.7470,7.935542054980,99.145478478010,-8.9039,12.4095
NKBI187,NKBI,2020.5109289617487,187,-1004107.38701,6237146.55368,874718.72849,47,516034.1144,877174.7413,7.935542003563,99.145478293332,-8.8852,12.4281
NKBI188,NKBI,2020.5136612021859,188,-1004107.41249,6237146.54213,874718.73384,47,516034.1414,877174.7477,7.935542060601,99.145478538163,-8.8918,12.4216
NKBI189,NKBI,2020.516393442623,189,-1004107.40357,6237146.53616,874718.73226,47,516034.1335,877174.7471,7.935542055658,99.145478466882,-8.8992,12.4141
NKBI190,NKBI,2020.51912568306,190,-1004107.40901,6237146.54471,874718.73383,47,516034.1375,877174.7474,7.935542058054,99.145478503273,-8.8898,12.4235
NKBI191,NKBI,2020.5218579234972,191,-1004107.40031,6237146.52355,874718.72859,47,516034.1323,877174.7453,7.935542038970,99.145478455865,-8.9126,12.4008
NKBI192,NKBI,2020.5245901639344,192,-1004107.39989,6237146.52912,874718.73344,47,516034.1310,877174.7493,7.935542075604,99.145478444141,-8.9065,12.4068
NKBI193,NKBI,2020.5273224043715,193,-1004107.39816,6237146.53286,874718.72964,47,516034.1287,877174.7451,7.935542037297,99.145478423201,-8.9037,12.4097
NKBI194,NKBI,2020.5300546448088,194,-1004107.40046,6237146.53599,874718.73024,47,516034.1305,877174.7452,7.935542038323,99.145478439248,-8.9002,12.4132
NKBI195,NKBI,2020.532786885246,195,-1004107.39891,6237146.54724,874718.73330,47,516034.1272,877174.7467,7.935542052235,99.145478409238,-8.8890,12.4244
