id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PJRK001,PJRK,2020.0027322404371,001,-1062387.58740,6152905.10147,1297009.22968,47,586752.2348,1305846.2324,11.811617615673,99.796349926082,-11.9667,16.6806
PJRK002,PJRK,2020.0054644808743,002,-1062387.58722,6152905.10521,1297009.23496,47,586752.2340,1305846.2368,11.811617655634,99.796349918643,-11.9620,16.6853
PJRK003,PJRK,2020.0081967213114,003,-1062387.59122,6152905.10917,1297009.23580,47,586752.2373,1305846.2367,11.811617654557,99.796349948572,-11.9574,16.6899
PJRK004,PJRK,2020.0109289617487,004,-1062387.58796,6152905.10471,1297009.23402,47,586752.2348,1305846.2360,11.811617647939,99.796349926050,-11.9626,16.6847
PJRK005,PJRK,2020.0136612021859,005,-1062387.58656,6152905.10869,1297009.23430,47,586752.2328,1305846.2355,11.811617643630,99.796349907226,-11.9589,16.6884
PJRK006,PJRK,2020.016393442623,006,-1062387.58919,6152905.11210,1297009.23641,47,586752.2348,1305846.2368,11.811617655282,99.796349925661,-11.9548,16.6925
PJRK007,PJRK,2020.01912568306,007,-1062387.59131,6152905.11495,1297009.23636,47,586752.2364,1305846.2361,11.811617648927,99.796349940351,-11.9517,16.6956
PJRK008,PJRK,2020.0218579234972,008,-1062387.58902,6152905.11634,1297009.23752,47,586752.2339,1305846.2370,11.811617657375,99.796349917554,-11.9505,16.6968
PJRK009,PJRK,2020.0245901639344,009,-1062387.58854,6152905.12289,1297009.23969,47,586752.2323,1305846.2378,11.811617664815,99.796349902952,-11.9438,16.7035
PJRK010,PJRK,2020.0273224043715,010,-1062387.59007,6152905.11767,1297009.23870,47,586752.2347,1305846.2379,11.811617665059,99.796349924964,-11.9488,16.6985
PJRK011,PJRK,2020.0300546448088,011,-1062387.59008,6152905.11375,1297009.23804,47,586752.2354,1305846.2380,11.811617666369,99.796349931105,-11.9527,16.6946
PJRK012,PJRK,2020.032786885246,012,-1062387.60272,6152905.10867,1297009.23711,47,586752.2487,1305846.2377,11.811617663420,99.796350053385,-11.9557,16.6916
PJRK013,PJRK,2020.035519125683,013,-1062387.58957,6152905.10585,1297009.23388,47,586752.2362,1305846.2355,11.811617644134,99.796349938908,-11.9613,16.6860
