id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PKET001,PKET,2020.0027322404371,001,-922365.10975,6250473.34035,869690.37705,47,433244.0777,872144.4487,7.889627388329,98.394397603870,0.1278,24.7266
PKET002,PKET,2020.0054644808743,002,-922365.11174,6250473.34533,869690.37968,47,433244.0789,872144.4506,7.889627405443,98.394397615080,0.1333,24.7321
PKET003,PKET,2020.0081967213114,003,-922365.11610,6250473.34019,869690.38181,47,433244.0840,872144.4533,7.889627430015,98.394397660980,0.1292,24.7280
PKET004,PKET,2020.0109289617487,004,-922365.11231,6250473.35103,869690.37751,47,433244.0786,872144.4476,7.889627378838,98.394397612632,0.1387,24.7375
PKET005,PKET,2020.0136612021859,005,-922365.10632,6250473.34391,869690.37895,47,433244.0737,872144.4502,7.889627401622,98.394397568348,0.1310,24.7299
PKET006,PKET,2020.016393442623,006,-922365.11850,6250473.34887,869690.38125,47,433244.0851,872144.4515,7.889627413861,98.394397671101,0.1380,24.7368
PKET007,PKET,2020.01912568306,007,-922365.10902,6250473.32642,869690.37970,47,433244.0790,872144.4532,7.889627429322,98.394397615776,0.1144,24.7132
PKET008,PKET,2020.0218579234972,008,-922365.10934,6250473.34376,869690.38201,47,433244.0768,872144.4531,7.889627428619,98.394397595651,0.1317,24.7306
PKET009,PKET,2020.0245901639344,009,-922365.10091,6250473.33953,869690.37926,47,433244.0690,872144.4512,7.889627410767,98.394397525659,0.1260,24.7248
PKET010,PKET,2020.0273224043715,010,-922365.10430,6250473.33790,869690.38255,47,433244.0726,872144.4546,7.889627441548,98.394397558182,0.1253,24.7242
PKET011,PKET,2020.0300546448088,011,-922365.10405,6250473.33495,869690.38139,47,433244.0728,872144.4538,7.889627434903,98.394397559838,0.1223,24.7211
PKET012,PKET,2020.032786885246,012,-922365.10779,6250473.32292,869690.37698,47,433244.0783,872144.4510,7.889627409460,98.394397609328,0.1104,24.7092
PKET013,PKET,2020.035519125683,013,-922365.11264,6250473.33763,869690.37504,47,433244.0809,872144.4470,7.889627373155,98.394397633416,0.1253,24.7241
PKET014,PKET,2020.0382513661202,014,-922365.11169,6250473.35979,869690.38348,47,433244.0767,872144.4524,7.889627421720,98.394397595518,0.1480,24.7468
PKET015,PKET,2020.0409836065573,015,-922365.11114,6250473.34074,869690.38183,47,433244.0790,872144.4533,7.889627430440,98.394397615834,0.1290,24.7279
PKET016,PKET,2020.0437158469945,016,-922365.09959,6250473.33631,869690.37723,47,433244.0682,872144.4496,7.889627396720,98.394397518072,0.1224,24.7212
PKET017,PKET,2020.0464480874316,017,-922365.11165,6250473.35483,869690.37843,47,433244.0774,872144.4480,7.889627382540,98.394397601757,0.1424,24.7413
PKET018,PKET,2020.049180327869,018,-922365.11002,6250473.34655,869690.38337,47,433244.0770,872144.4541,7.889627437285,98.394397598069,0.1348,24.7336
PKET019,PKET,2020.051912568306,019,-922365.10974,6250473.34106,869690.38127,47,433244.0775,872144.4528,7.889627425224,98.394397602860,0.1291,24.7279
PKET020,PKET,2020.0546448087432,020,-922365.10958,6250473.35621,869690.38198,47,433244.0752,872144.4514,7.889627413067,98.394397581338,0.1440,24.7428
PKET021,PKET,2020.0573770491803,021,-922365.10851,6250473.34479,869690.38011,47,433244.0758,872144.4511,7.889627410493,98.394397586830,0.1324,24.7312
PKET022,PKET,2020.0601092896175,022,-922365.11646,6250473.35364,869690.38325,47,433244.0824,872144.4529,7.889627426352,98.394397646472,0.1426,24.7415
PKET023,PKET,2020.0628415300546,023,-922365.10656,6250473.33835,869690.37926,47,433244.0748,872144.4512,7.889627411176,98.394397577828,0.1257,24.7245
PKET024,PKET,2020.0655737704917,024,-922365.11412,6250473.35224,869690.38196,47,433244.0802,872144.4518,7.889627416879,98.394397627270,0.1407,24.7396
PKET025,PKET,2020.068306010929,025,-922365.10439,6250473.33900,869690.37870,47,433244.0725,872144.4506,7.889627405770,98.394397557543,0.1259,24.7247
PKET026,PKET,2020.0710382513662,026,-922365.11134,6250473.35412,869690.38018,47,433244.0772,872144.4499,7.889627399184,98.394397599894,0.1419,24.7408
PKET027,PKET,2020.0737704918033,027,-922365.12110,6250473.35460,869690.38069,47,433244.0868,872144.4501,7.889627401411,98.394397686843,0.1439,24.7427
PKET028,PKET,2020.0765027322404,028,-922365.11015,6250473.34415,869690.38046,47,433244.0775,872144.4515,7.889627414115,98.394397602427,0.1320,24.7309
PKET029,PKET,2020.0792349726776,029,-922365.11459,6250473.34099,869690.37737,47,433244.0823,872144.4488,7.889627389524,98.394397646452,0.1292,24.7280
PKET030,PKET,2020.0819672131147,030,-922365.11025,6250473.34685,869690.37970,47,433244.0772,872144.4504,7.889627404000,98.394397599719,0.1346,24.7334
PKET031,PKET,2020.0846994535518,031,-922365.10619,6250473.33171,869690.37560,47,433244.0754,872144.4485,7.889627386617,98.394397583380,0.1186,24.7174
PKET032,PKET,2020.0874316939892,032,-922365.11981,6250473.34958,869690.38154,47,433244.0863,872144.4517,7.889627415426,98.394397681920,0.1389,24.7377
PKET033,PKET,2020.0901639344263,033,-922365.11735,6250473.34426,869690.38059,47,433244.0846,872144.4515,7.889627413888,98.394397666813,0.1332,24.7320
PKET034,PKET,2020.0928961748634,034,-922365.11177,6250473.33612,869690.37970,47,433244.0803,872144.4518,7.889627416880,98.394397627541,0.1243,24.7231
PKET035,PKET,2020.0956284153006,035,-922365.12064,6250473.35050,869690.38348,47,433244.0869,872144.4534,7.889627431453,98.394397688153,0.1402,24.7390
PKET036,PKET,2020.0983606557377,036,-922365.11426,6250473.35192,869690.38045,47,433244.0804,872144.4504,7.889627403775,98.394397628969,0.1402,24.7391
PKET037,PKET,2020.1010928961748,037,-922365.11456,6250473.34170,869690.38056,47,433244.0822,872144.4519,7.889627417274,98.394397645226,0.1303,24.7291
PKET038,PKET,2020.103825136612,038,-922365.11463,6250473.34404,869690.37956,47,433244.0819,872144.4506,7.889627405422,98.394397642727,0.1324,24.7313
PKET039,PKET,2020.1065573770493,039,-922365.11148,6250473.34695,869690.37758,47,433244.0784,872144.4483,7.889627384696,98.394397610582,0.1346,24.7334
PKET040,PKET,2020.1092896174864,040,-922365.11424,6250473.35117,869690.38495,47,433244.0805,872144.4549,7.889627444958,98.394397629778,0.1401,24.7389
PKET041,PKET,2020.1120218579235,041,-922365.11042,6250473.33840,869690.37749,47,433244.0786,872144.4494,7.889627394576,98.394397612476,0.1260,24.7249
PKET042,PKET,2020.1147540983607,042,-922365.11375,6250473.34464,869690.38036,47,433244.0810,872144.4513,7.889627411980,98.394397634031,0.1330,24.7319
PKET043,PKET,2020.1174863387978,043,-922365.11276,6250473.35111,869690.38029,47,433244.0791,872144.4504,7.889627403604,98.394397616647,0.1392,24.7380
PKET044,PKET,2020.120218579235,044,-922365.11072,6250473.34759,869690.37753,47,433244.0776,872144.4482,7.889627383582,98.394397602964,0.1351,24.7339
PKET045,PKET,2020.122950819672,045,-922365.10946,6250473.35231,869690.37577,47,433244.0756,872144.4458,7.889627362261,98.394397585405,0.1393,24.7381
PKET046,PKET,2020.1256830601094,046,-922365.11118,6250473.32902,869690.37457,47,433244.0807,872144.4477,7.889627379778,98.394397631632,0.1165,24.7154
PKET047,PKET,2020.1284153005465,047,-922365.11136,6250473.33614,869690.37603,47,433244.0799,872144.4482,7.889627384055,98.394397623881,0.1238,24.7226
PKET048,PKET,2020.1311475409836,048,-922365.11524,6250473.34136,869690.37753,47,433244.0829,872144.4489,7.889627390371,98.394397651798,0.1296,24.7285
PKET049,PKET,2020.1338797814208,049,-922365.11802,6250473.33335,869690.38203,47,433244.0869,872144.4544,7.889627439994,98.394397687344,0.1228,24.7216
