id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
THAI001,THAI,2020.0027322404371,001,-1150486.08150,6080853.90508,1537596.42624,47,685044.8321,1553154.1391,14.043005728561,100.713616625290,-7.2770,22.9809
THAI002,THAI,2020.0054644808743,002,-1150486.07597,6080853.90915,1537596.42993,47,685044.8259,1553154.1419,14.043005754442,100.713616567970,-7.2732,22.9847
THAI003,THAI,2020.0081967213114,003,-1150486.08394,6080853.91383,1537596.43165,47,685044.8329,1553154.1422,14.043005756192,100.713616632443,-7.2669,22.9910
THAI004,THAI,2020.0109289617487,004,-1150486.08197,6080853.90438,1537596.42657,47,685044.8327,1553154.1396,14.043005732798,100.713616630768,-7.2775,22.9804
THAI005,THAI,2020.0136612021859,005,-1150486.08163,6080853.90900,1537596.42965,47,685044.8315,1553154.1415,14.043005750004,100.713616619693,-7.2724,22.9855
THAI006,THAI,2020.016393442623,006,-1150486.08064,6080853.90764,1537596.43038,47,685044.8308,1553154.1426,14.043005759760,100.713616613050,-7.2737,22.9842
THAI007,THAI,2020.01912568306,007,-1150486.08240,6080853.91405,1537596.43213,47,685044.8313,1553154.1427,14.043005760563,100.713616618020,-7.2668,22.9910
THAI008,THAI,2020.0218579234972,008,-1150486.08033,6080853.90963,1537596.43094,47,685044.8301,1553154.1426,14.043005760480,100.713616606835,-7.2717,22.9862
THAI009,THAI,2020.0245901639344,009,-1150486.07972,6080853.91276,1537596.43282,47,685044.8289,1553154.1437,14.043005770452,100.713616595815,-7.2684,22.9895
THAI010,THAI,2020.0273224043715,010,-1150486.07919,6080853.91334,1537596.43282,47,685044.8283,1553154.1436,14.043005769409,100.713616590043,-7.2679,22.9900
THAI011,THAI,2020.0300546448088,011,-1150486.08115,6080853.90831,1537596.42870,47,685044.8312,1553154.1407,14.043005743308,100.713616616524,-7.2734,22.9845
THAI012,THAI,2020.032786885246,012,-1150486.08313,6080853.89972,1537596.42848,47,685044.8347,1553154.1425,14.043005759132,100.713616649337,-7.2812,22.9766
THAI013,THAI,2020.035519125683,013,-1150486.08129,6080853.91109,1537596.42746,47,685044.8308,1553154.1389,14.043005726379,100.713616613022,-7.2710,22.9869
THAI014,THAI,2020.0382513661202,014,-1150486.08092,6080853.90866,1537596.42983,47,685044.8309,1553154.1418,14.043005752583,100.713616613778,-7.2728,22.9851
THAI015,THAI,2020.0409836065573,015,-1150486.08054,6080853.90800,1537596.43065,47,685044.8306,1553154.1427,14.043005761394,100.713616611513,-7.2733,22.9846
THAI016,THAI,2020.0437158469945,016,-1150486.08112,6080853.90292,1537596.42850,47,685044.8321,1553154.1419,14.043005753227,100.713616625534,-7.2785,22.9793
THAI017,THAI,2020.0464480874316,017,-1150486.07670,6080853.90859,1537596.43080,47,685044.8267,1553154.1429,14.043005762971,100.713616575535,-7.2734,22.9845
THAI018,THAI,2020.049180327869,018,-1150486.08108,6080853.91069,1537596.43171,47,685044.8306,1553154.1431,14.043005764620,100.713616611749,-7.2704,22.9875
THAI019,THAI,2020.051912568306,019,-1150486.08054,6080853.90740,1537596.43158,47,685044.8307,1553154.1438,14.043005770824,100.713616612570,-7.2736,22.9842
THAI020,THAI,2020.0546448087432,020,-1150486.07800,6080853.91176,1537596.42891,47,685044.8274,1553154.1402,14.043005739009,100.713616581936,-7.2706,22.9873
THAI021,THAI,2020.0573770491803,021,-1150486.07906,6080853.90877,1537596.43047,47,685044.8290,1553154.1424,14.043005758740,100.713616596739,-7.2729,22.9850
THAI022,THAI,2020.0601092896175,022,-1150486.07865,6080853.90053,1537596.42766,47,685044.8302,1553154.1417,14.043005751967,100.713616607170,-7.2815,22.9764
THAI023,THAI,2020.0628415300546,023,-1150486.07612,6080853.90762,1537596.42700,47,685044.8264,1553154.1395,14.043005732007,100.713616571996,-7.2753,22.9825
THAI024,THAI,2020.0655737704917,024,-1150486.08573,6080853.91227,1537596.43061,47,685044.8349,1553154.1415,14.043005749722,100.713616651378,-7.2683,22.9896
THAI025,THAI,2020.068306010929,025,-1150486.07792,6080853.91681,1537596.43131,47,685044.8264,1553154.1414,14.043005749267,100.713616572479,-7.2652,22.9927
THAI026,THAI,2020.0710382513662,026,-1150486.08715,6080853.90752,1537596.43283,47,685044.8372,1553154.1447,14.043005778843,100.713616672469,-7.2720,22.9858
THAI027,THAI,2020.0737704918033,027,-1150486.08424,6080853.91816,1537596.43207,47,685044.8324,1553154.1415,14.043005750435,100.713616627694,-7.2626,22.9953
THAI028,THAI,2020.0765027322404,028,-1150486.08033,6080853.90501,1537596.43018,47,685044.8310,1553154.1430,14.043005763758,100.713616614776,-7.2763,22.9816
THAI029,THAI,2020.0792349726776,029,-1150486.07805,6080853.90734,1537596.42757,47,685044.8283,1553154.1400,14.043005736751,100.713616589993,-7.2751,22.9828
THAI030,THAI,2020.0819672131147,030,-1150486.08054,6080853.91084,1537596.42865,47,685044.8301,1553154.1401,14.043005737737,100.713616606627,-7.2711,22.9868
THAI031,THAI,2020.0846994535518,031,-1150486.08503,6080853.89645,1537596.42644,47,685044.8372,1553154.1413,14.043005747552,100.713616672260,-7.2845,22.9734
